Text,Sentiment
Khel mein haar jeet hoti rahti hai ye kismat ki baat hai ki koun hara ya koun jeeta isme kisi ki galti nahi thi,1
Humne kaha thaa na ki dhoni ko captain banao warna world cup nhi Jeet sakte,1
Gautam Gambhir hota tho paka match nikalata because its Batesman of big occasionbut well played India Jai Hind ,1
"O haram khuro muhammad shami ko q  nai khelaya wo musalman hy is lye han
",0
Yuvraj ke bina wc jitna mushkil thaa,1
Abe har ne ke bad team me change Kar ne me Kya fayada ,1
Rohit Sharma ko villain mat bolo haramkhorhar match pe century kiyawoh nehi dekhai diya,1
Khud jake khelo na aagaye haar ke tin villan salo sharm aani chahiye,0
Dhoni ko thora upper bhejna chahiyetime ki value thi pitch pe tikne ki pr,1
Mere khyal se agar wo direct hit nahi hota to dhoni match nikal lete Good luck hogya New Zealand ka Varna,1
Ab pata chala K yuvraj ko q hum raja Kehte he aj yuvi hota toh sayad ye din dekhna nai padta aur kohli K bewakoofi klie aj hum hargaye,0
Md sami ko khelana chayie tha,1
India ki wickets to aisy giri jaisy Pakistan ny india k mig  giray thy ,0
Birendra shewag ne kavi bada match desh ke leya jeetya hai Baat bada bada karta hey,1
You mean khabroun mein chootya baney rehney k lyai,0
Sewag bhootni k ab bol na baap baap hota ha beta beta hota ha,0
Aj team me yuvraj singh hote to team india jarur jitati Hamare chayn kartao me kami hai,0
Semi final me har k liye kise ko bhi vilen btna wrong haj humara din n tha to hum n Khel payeproud h Hume apni indian team perkoi bat n ab agle sal hum would cup jitenge,1
Tum log pakistan k bahir hony pa khushyan manaty rhy ho na ab apni nautanki band kro,0
Jadeja NY match banaya aur dhooni NY ganwaya single ly ly kar,0
media chaplusi ki jagah manobal barati bhartiy team ka to yakin n jit jaate,1
over main shot na khele to tuk tuk karta Dhoni jaisa,1
ravi shastri main villain hai usko change kro,0
India ne Muslim ko bhitayamohd shami ko Allah ki tarf se India hara ha yeh hota wo hota ki koi baat hi nhi ha,0
Ek match me nhi chla hitman to villain ho gya waah kya bat h ,1
Dhoni ko nahi le kar jana chagiye tha,0
Yar abp hare to vilen aur jite to hero TRP K chlte great player ko  vilen bta rhe ho,0
Dhoni agr upr ata too  ball swing ho rhi thiiii wo jo dot krta hai wo bhi na tha  out ho ke jldi chla jata  may be India jeet jata,1
Middle oder me rahane hona chahiye tha,1
Khel he har jeet hoti rehti Bhai Itna knyo sochna  Sports are only for entertainment ,1
Chenge the coach Team ka coach koi Kam ka nye hai,0
Kro intazar phir phir  sal bahad aap ka yehi rona ho ga Worldcup to aap jite gay nhi,0
Wicket taker Shami rahta Bumrah Bhuvi k sath to New Zealand ko aur kam score me rok sakte the Middle over me New Zealand ka wicket jayada nahi gira,1
India team haar kr bhi jiti,1
Good kartik ke jagah dhoni ko aana chahye tha,1
Choti team lagatar dusri baar finel me  badi team kya ghumne gai thi,1
Sala sab fixer player hai,0
Pandya ke jagha py ms ko anaa chieay tha,1
Viru ekdm correct bola apne MSD KO PANT ki jaga p bhejna chaiye tha team management ta decision ki wje se aaj india hara agar tab MSD ata batting krne then avi tak humlog celebrate krte rehte,1
Gurooor ka sir niche jukhta hai hameshaaindia walo,0
o gandoo k bacho abi b gharoor kr rhy ho match khar k b abi b new zeeland ko choti team khe rhy ho,0
Karthik ko to Nikal hi do,0
Virat ki captaincy me koi major cup nahi likha h,0
"India ko guror Mar gy ha koli , B boat guror Kar gy hahaha",0
Bdhayi dete raho bs apni kmi ko mt dekhna kbhi,0
Ye pakistan ka babar azam tha jo  b kiye or new zeland se match b jeeta lanat h tum india plyar pa,0
Team selector ko Bahar nikalo,0
lagatar  match Vijay Sankar ko  no position par kyu khilaye salo ye samajh nhi aya abhi takno par ek aise batsman khilana chahiye joki jaroorat ke time par badi partnership bana sakeAur match jeeta sake,1
Ye Jo cricketers itni burai krte h kya ye sab Apne samay me sare match jite h kya,1
Nz ko halke mei lena mehnga pada,1
India kab bouncy fast pitch pe aachya khele pe India WC jita kuiki o India me hua tha,0
"Chalo yaar match thaaa move on nobody expected such kinda attack from NZ, After loosing  wickets on  runs still Indias middle order gave their best ,  We lost match because of reserved day NZ got one complete extra day to relax if our batting would,have been on same day we could easily win it  ",1
sali abhi bhi should Roya dusron karstark Dekho day tour par khud Gir Jaoge sali ISI Tarah India Bihari isme khadda Kushinagar khodne ka natija Dekhe saale biwi sudharo,0
kamino har gye ab is pr pagalpanti kyu rahe h chutiyo,0
ager Muhammad Shami Ko team se Baher nahi nikalta toh Sayed jit jata cricket Mai bhi  Hindu Musalman ki politics karta haiallah team India por naraz hogaya,0
Arre ab  best batdman ko villain kyu bola gaya hai kya lagta hai inko,1
Jiyada Kuch nhi ye inko IPL hi khel ne k lyk h,1
Remove pandya from the team mature ho Jaye tab bulaao ,0
Jab sahi se khelna hota hai to khelta nahi aur Faltu ka century marega haramkhor log Aisa team lekar world cup Nahi jitega to kaisa team se,0
Rohit ka kya haal hoga itni pure WC  me birliant perform di uski mehnat pr Pani fr gya,1
India ki haar ka simple reason team selection tha viru is right while batting,1
Harne ka  bajah hi o hi virat kohli,0
Haar k teen vilan yeh chutiye news channel Ko bandh karo,0
KL Rahul kub se super star ho geya bhai,1
Salo shami ko nahi leye isi leye hare,1
Kya kahe virat kohali rohit sharma k l rahul    ran vah kya bat hai Aap tino mah,2
Inko kedar jadhav or ambati raydu ko rkhna tha middle me,1
Abp se ye umeed nhi thi villain kaise bola be ghatiya media ka ghatiya soch ,0
captain change krne ki zrurt h,0
kabro me bane k liye is news lady ancher se chedkhani kro orr ise batamizi kro,0
Allah ne india ka ghuroor tora hai india apny gharoor ki waja se hara hai,0
Dhoni ko team se baahr fek dena chahiye ,0
Ek match Kya har gyaye media  team change karne ki baat karne lagte h,1
Kishmat ma Jo hi voo hota hi,1
"Kapil sr mi aap se Jaan na chata Hu ke akhir kya wajah thi ke Mohammad shami ko nhi khelaya Gaya 
Kya desh to desh ab Tim India me v Hindu Muslim ho Gaya hi Ke  me ek v Muslim ko nhi khelaya Jayega ",1
World Cup m shami ko q nhi liya yhi hai haar ki asli reason hai baaki to sab thk hai,0
Starting ke player blkl nhi chal sakescore kam hi tha but last me india ne acchi koshis ki next time,1
Team India me gut bajee hai Dhoni khud hi uper nahi Aya Ese kaun rok sakta  Gendo me ek jankar haraya,0
Kapil dev jee tum loogon ki harkateen lee doobi tum loogon kodunya ma india aak mazaq ban chuka hakabi England sa match har jathe ho ta ke Pakistan tournament sa out hojae oor kabi sirgical strikesresult ZERO WELL DONE New Zealand from ,0
Virat kholi har bade match m Fail ho jata hai WC   run CT    RUNS WC   Run,0
Mujhe lagta hn Rohit ko captain banana chahiye  ab,1
Shami hota to   run  Kum bante,1
India me ham RohitVirat Dhoni ke upar depend keoy ha ur pleyars jimeydari keoy nahi leta ha,1
HAAR JEET TO HOTI RHTI HAI  INDIA BEST THI BEST HAI AUR BEST RHEGI,2
"sari hindi khrab ki hoie hai hi in news walon nay  khabron main bany rehny k lye kea hota hai 
say like  Hamari Khabrein sunany dekhny k lye hmary sath rehin ",1
Is tarah ki selector ki koi jarurat nahiDhoni ko select korne ka dena sahiye,1
har se soch mat badlo hamari team best hai or rahegi  Indian team is great ,2
Hahaha Muje to kafi maza Aya bhai Indian team ne ek meach zada kel Liya Pakistan se ,1
Aye hye abhi mati paleet Hui India darindon ki,0
hum  run se haare  ar  balls aisi gayi jispe hum kuch naa kar sake kyuki Dhoni jadega dono out ho chuke the ar jis ball pe jadeja out hue usko include kare toh  Ball  and  Ball pe  maar sakte hain Kapil paaji jo bol rahe hai sahi hai koi nahi bol rha ki jadu paaji ne galat Kiya pressure tha but unke out hone ke Baad koi batsman bachta hi nahi Dhoni single nahi le sakte kyuki saamne wala out ho jayega Isliye Dhoni Ko double daudna pada Aaaj Jadu paaji nae,1
Koi changes mat karo bas ye hrami sashtri ke jagah ganguly ko lao india  ka world cup  jitega sashtri sala chutia baith hilate raheta hai bas like only  if u agree,0
team haar gayeeiska gum hailekin agar team jeet jati to ye credit team ko nahi kamine bhajpayee apne pita Modi ko dete,0
 bal main  ran bana nahi paye Indian team ke mu main mut Dena chahiye practice nahi kiya salo ne,0
Team india performance dene se pehle jo arrogance aur proud show krti hai wo marwata hai inhain,0
Jadeja ko kya mature hone ki zarurat hai Saari bowls toh Dhoni ne khai hain  Rohit aur Kohli ne har match meh century aur half century bnai lekin jab team ki zarurat thi sabse zyaada tab ye log bhi thande pad jaate hain,1
Sami ko nhi khilaya islia har gya yar Accha bowling kr rha tha o pahle  bastman khlte the to  par run jata tha aaj  batsman khela or ,1
Haraya nahi gai new z land ne tumhe phoda hai phoda,0
 batsman   run par out ho gaya uska matlab kya hai Kapil sir,1
kutte kaha gaya India ke purb cricketer jo bol raha tha ke hum barish ke karan jeet ke nahi match jeet ke final me jaynge ,0
Sir agar dhoni sir ne jadeja ja ko support nehi karteta india kab se match har chuka tha,1
Public ko takleef dekar kabhi nhi jeet hogi Mohammed shami,1
Kapildev kbhi bhi positive nai bol payega  Compeletly negative guy,1
ye virat kohli jab tak captain rahega koi bhi final match nahi jeet sakta,0
Sir jadeja ko dosh mt do dhoni h Har ka reason ek formal batsman hone k vad aps ek six four ni lgta h or apki soch h ji app  last over m hits krnge yeah over Confidensce khn tk le jaoge,0
Chalo final Mai harne ka gum nahi hoga dimag kharab ho Gaya best betting  lign up  bhi nahi bana payi heads of u blue army,1
Team main koi changes ki zaroorat nahi  sirf coach ko hata d dub theek hojayaga  Shastri is unfit for coach nd manager bcoz of his gudamba drink habit,0
Jesa karoo gy wesa baroo gy Go India Go ,0
salo dadi rakhne se maturity nahi aati kutto,0
Rohit sharma ko captain banao Ye ravi shashtri harami hai,0
Yuvraj Singh Ka Jaga koinehi ne Sakta,1
Jadeja ki maturity thik thi Dhoni ko speed khelna tha,1
Modi ka luck kya huwa ABP walo jara answer do ,1
Jo coptan ipl jiti nehi paya bo kya khak jitegi wydcop yuve rena ke bina India haregi,0
Tit  tatdhoni england kn bar mar nhi rhn thn Aj mara nhi jn rhn thn hahaha weldone major dhoni,1
Bhagao yr ye rishab pant ko hamesha faltu wale shot khelta h,1
Ye sab sachchai kahne se darr rahe haii Sach to ye hai main kami ravi shashtri aur virat ki hai,0
Dhoni Gandgi heyograj singh,0
Agar Dhoni ko no  ya  pay bechtay to India definitely jeettay,1
Virat kohli ko Captain se hatao ar Ravi Sastri ko coach se bahar karo  world cup mai v Ravi sastri ki waja se team India hari hai ar ess baar v Hardik pandya ko Q Dhoni ki jagha par bheja ar team selection pe Q Rayadu ko mouka ni diya ghatia coach ar ghatia Captain Best of luck Newzeland team ,0
Yrr game hai har jeet ho hoti hai aa ab kya Jaan loge india team ki,1
Ms dhoni ko five number par khelna chahiy,1
Fixing Match they Pakistan diya hai  Cror,0
Are kya title Diya h ye Haar ke villain Shame on you ABP news Tum sab illiterates ho kya Thodi bhi sharm h tumhe India team ko console krna Chahiye or tum unki insult kr rhe ho ,0
Wahmazza aa gayaabhinandan ka plane abhi hamaray pass hai Circket ka world cup bhi gayahah hah ha habloody indians,0
Oh indains ye hai tum logo ki bating shrem kro expose ho gai Kuch b Nhi tumari team jitne merzi match jeeto Magr world cup ke match Mai aise khele Jaise collage ka matchor tum log Bhuat over or akre hoe the Mazaq urate the Pakistan ka Ub mza ayaitna asaan match haar gae,0
Kapil sir ek baataa bataiya Kia aap kabhi match nahi Hara h Kia sir jiss ka din hota h wahi Jeet ta h,1
agar bdesh hota to definitely kohli or rohit  banate kyuki woh catch drop krte hain,1
Team India ko Modi ji ne jeet dila nahi payahahaha,1
Kapil sir Kya bolte h unko dekhakar sunke bahut acgha lagta h,2
Seda bollo beta tum main dam nahi ta,0
Paise lete ho player se or koi change  ki jarurat  nahi,1
Pant accha khela but dk ne Jo beech m  balls dot kri aur baad m santner k maiden over ne pressure bda diya dhoni aate dk ki jagah toh strike rotate krte jis se pant aur accha khel sakte the,1
Are yar teams pahile rahul or kartik ko bahar karodhoni to kuch kam ka nahi o  bal pe  run banatha he,0
Lanat e hmari nikammi team pr,0
Aaj Ke Match Mein Maine Ambati Rayadu Ko Miss Kiya Bcoz Ek Wahi Player Tha Jo Middle Order Mei Best Tha World Cup Ke Liye Aise He Halat Mei NZ Ke Against NZ Mei Century Bhi Kri Thi Unfortunately Wo BCCI Ki Politics Ka Shikaar Ho Gya,1
Taza kabar i ke india me brnol katam ho gia ha,1
KOHLI KE SHOKHA PAN KI WAJA SE INDIA HAARA,0
India plyed very well newz ki luck ne buhat sath dia dhoni arram see match finish karty but luck ne newz ka sath dia  india no  team hai har jeet huti rehti hai but india plyd very well fight,2
Rohit Kohli sab ek ek run kya yeh no team hai kya ye neend mein the Jo inko kuch ptaa Nhi chla world cup thaa,0
Batting me kami thi aap wo Rishabh pant k bagair kedhar Jadhav ko khilate to accha hota aur Pandya ko dhoni aur Jadeja k bad bhejna chahiye tha wo ek bowling allrounder hai batting order me hi fail hogayi team india,1
Khabrun ma bany rehny k liy us sali ko marty rahey aur india tati krta rhy final ki tati semi ma nikal gai hhahhaha,0
Ak bura din tha aur kuchh nahi,1
Mera maanna hy kpil dev ko team india ki zummedaari dena chahiye bhut imaandar chache deshbhakt hy i am big fan of kpil paji,2
Ham nahin tu tum bhi nahinzarorri nahin jis ko BAAP haraye usko beta bhi hara dey,1
Bhai virat  kbi v bre match me score ni KR pata h AAP log purane sare record ko utha ke dekh lo,1
Ab kya karoge yr samiksha krke,1
kapil bhai kya aapne garebo ki madad ki no apnaghar pala,1
Virat or Rahul ko thodi jimmedari leni thi Rohit pe dependent nahi rah sakte hamesha and bad shot decision by pant well played sir jadeja And Dhoni we played well,1
News not good But rohit rahul kohali  cup me achcha kiya hai har  hoti rahati hai,1
paji o chij aap hi kr skte ho  pe  out hone ke bavjud aapne  run ki pari kheli aap jaisa cricketr na hua hai aur shayad nhi hoga,2
Aab change se ka hue jab Wc haat se gayee,1
Haar ka sabse bada karan he yuvi ko wc me moka na dena mene to pehle he kaha tha no yuvi no wc,1
Iam happy and every Bangladeshi  happy lndia lost semi finals India ka team ahankari hai lndia ahankar Toot Gaya,0
Pehle to abp news walo ko thoko Har ke  villane,0
Kyu ki dhoni ek aisa batsman hai jiske ground me hone se  ball pe bhi match jeetna possible tha,2
Kader ko khel na chahiye tha  Dinesh kartik ki jagah,1
Dinesh Kartik jaisa chutiya  Saal mai ekk aata hai   ball  run par khel Raha tha,0
har ke do karan kohali rohit,0
ab murda ka baal maat nocho sale avb walo,0
Ye kutte kohli aur sastri har baar aisa hi krte h iss baar dhoni ko  pe bhjna chahiye thawo inning build krdeta aur last me pant aur hardik km over me bhi match khich skte the,0
Harne ke bad sab lailanth btate hai itna tha tho apne hi jana chahiye tha,1
Changes chahiye ravi shastri ko nikal do,0
kl rahul semifinal jaise match ke layak nhi h,0
Ya  players big match ma perform nai kar sakta insa acha to Ambaitu raidu tha Raina tha yuvi tha,1
i think Rayudu hota to hamare middal order strong hote or hum match bhi aasani se jita leti  suba galati team manegement ki hai rayudu ko lena chahiye tha  hamare pasa suba kucha tha basa usaka use thika se nahi kiya,1
Dhoni ko number  pr aaj na khilaanaa chahiyekaartik ko to saayad jugaad me rakha h,1
